1,1,0,1034,1024,0.9903,0.9903,0.9903
1,1,1,1034,1024,0.9903,0.9903,0.9903
1,1,2,1034,1024,0.9903,0.9903,0.9903
1,1,4,1034,1024,0.9903,0.9903,0.9903
1,1,8,1034,1024,0.9903,0.9903,0.9903
1,2,0,1034,1024,0.9903,0.9903,0.9903
1,2,1,1034,1024,0.9903,0.9903,0.9903
1,2,2,1034,1024,0.9903,0.9903,0.9903
1,2,4,1034,1024,0.9903,0.9903,0.9903
1,2,8,1034,1024,0.9903,0.9903,0.9903
1,4,0,1034,1024,0.9903,0.9903,0.9903
1,4,1,1034,1024,0.9903,0.9903,0.9903
1,4,2,1034,1024,0.9903,0.9903,0.9903
1,4,4,1034,1024,0.9903,0.9903,0.9903
1,4,8,1034,1024,0.9903,0.9903,0.9903
1,8,0,1034,1024,0.9903,0.9903,0.9903
1,8,1,1034,1024,0.9903,0.9903,0.9903
1,8,2,1034,1024,0.9903,0.9903,0.9903
1,8,4,1034,1024,0.9903,0.9903,0.9903
1,8,8,1034,1024,0.9903,0.9903,0.9903
2,1,0,1034,1024,0.9903,0.9903,0.9903
2,1,1,2059,1024,0.4973,0.4981,0.4977
2,1,2,2060,1024,0.4971,0.4978,0.4974
2,1,4,2062,1024,0.4966,0.4983,0.4975
2,1,8,2063,1024,0.4964,0.4993,0.4978
2,2,0,1034,1024,0.9903,0.9903,0.9903
2,2,1,1035,1024,0.9894,0.9903,0.9899
2,2,2,1037,1024,0.9875,0.9903,0.9889
2,2,4,1039,1024,0.9856,0.9903,0.9879
2,2,8,1043,1024,0.9818,0.9903,0.9861
2,4,0,1034,1024,0.9903,0.9903,0.9903
2,4,1,1035,1024,0.9894,0.9903,0.9899
2,4,2,1036,1024,0.9884,0.9903,0.9894
2,4,4,1039,1024,0.9856,0.9903,0.9879
2,4,8,1043,1024,0.9818,0.9903,0.9861
2,8,0,1034,1024,0.9903,0.9903,0.9903
2,8,1,1035,1024,0.9894,0.9903,0.9899
2,8,2,1036,1024,0.9884,0.9903,0.9894
2,8,4,1038,1024,0.9865,0.9903,0.9884
2,8,8,1043,1024,0.9818,0.9903,0.9861
4,1,0,1034,1024,0.9903,0.9903,0.9903
4,1,1,2066,1024,0.4956,0.7442,0.6821
4,1,2,2071,1024,0.4944,0.7415,0.6797
4,1,4,4112,1024,0.2490,0.2502,0.2495
4,1,8,4116,1024,0.2488,0.2513,0.2498
4,2,0,1034,1024,0.9903,0.9903,0.9903
4,2,1,1041,1024,0.9837,0.9884,0.9872
4,2,2,1554,1024,0.6589,0.6628,0.6610
4,2,4,2066,1024,0.4956,0.4998,0.4974
4,2,8,2072,1024,0.4942,0.5020,0.4976
4,4,0,1034,1024,0.9903,0.9903,0.9903
4,4,1,1037,1024,0.9875,0.9903,0.9889
4,4,2,1040,1024,0.9846,0.9903,0.9870
4,4,4,1049,1024,0.9762,0.9903,0.9832
4,4,8,1061,1024,0.9651,0.9903,0.9777
4,8,0,1034,1024,0.9903,0.9903,0.9903
4,8,1,1037,1024,0.9875,0.9903,0.9889
4,8,2,1040,1024,0.9846,0.9903,0.9875
4,8,4,1047,1024,0.9780,0.9903,0.9842
4,8,8,1061,1024,0.9651,0.9903,0.9777
8,1,0,1034,1024,0.9903,0.9903,0.9903
8,1,1,2072,1024,0.4942,0.8634,0.8173
8,1,2,4126,1024,0.2482,0.3730,0.3130
8,1,4,2101,1024,0.4874,0.8421,0.7978
8,1,8,8213,1024,0.1247,0.1264,0.1252
8,2,0,1034,1024,0.9903,0.9903,0.9903
8,2,1,1049,1024,0.9762,0.9846,0.9836
8,2,2,2072,1024,0.4942,0.4983,0.4958
8,2,4,3608,1024,0.2838,0.2872,0.2851
8,2,8,4122,1024,0.2484,0.2540,0.2503
8,4,0,1034,1024,0.9903,0.9903,0.9903
8,4,1,1049,1024,0.9762,0.9865,0.9849
8,4,2,1056,1024,0.9697,0.9884,0.9801
8,4,4,1568,1024,0.6531,0.6662,0.6583
8,4,8,2086,1024,0.4909,0.5077,0.4976
8,8,0,1034,1024,0.9903,0.9903,0.9903
8,8,1,1041,1024,0.9837,0.9903,0.9870
8,8,2,1048,1024,0.9771,0.9903,0.9830
8,8,4,1062,1024,0.9642,0.9903,0.9753
8,8,8,1097,1024,0.9335,0.9903,0.9614
